time_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,raw_pitch,kalman_pitch
7.4738,9.44595703125,0.4263134765625,4.69184326171875,17.61832061068702,-107.09923664122137,1.900763358778626,-63.49,-58.82
7.489,8.5981201171875,0.63947021484375,5.67380126953125,19.38167938931298,-108.29770992366412,8.0,-56.41,-60.29
7.5081,8.17899169921875,0.67300048828125,5.4175341796875,12.541984732824428,-86.38931297709924,7.801526717557252,-56.28,-61.69
7.5237,8.2340771484375,0.4981640625,5.1780322265625,5.435114503816794,-69.65648854961832,3.7404580152671754,-57.72,-62.56
7.539,8.92144775390625,0.39038818359375,4.6894482421875,-1.3740458015267176,-69.98473282442748,0.9847328244274809,-62.19,-63.56
7.5565,9.3932666015625,0.2347119140625,3.93980712890625,-5.702290076335878,-47.80916030534351,0.4732824427480916,-67.21,-64.5
7.5717,9.656718750000001,0.3975732421875,4.07871826171875,-6.755725190839694,-40.13740458015267,2.1374045801526718,-67.0,-65.18
7.5872,9.3118359375,0.43828857421875,4.26073974609375,-9.297709923664122,-39.0,2.3969465648854964,-65.3,-65.75
7.6049,9.6231884765625,0.43828857421875,3.5709741210937502,-8.977099236641221,-44.961832061068705,5.687022900763359,-69.5,-66.66
7.6202,9.5465478515625,0.53887939453125,3.5877392578125002,-4.030534351145038,-45.97709923664122,6.595419847328245,-69.19,-67.43
7.6354,9.41961181640625,0.6562353515625,3.6021093750000004,0.1297709923664122,-45.10687022900763,7.488549618320611,-68.76,-68.14
7.6549,9.493857421875001,0.71611083984375,3.9469921875000002,1.2900763358778626,-23.709923664122137,5.00763358778626,-67.09,-68.53
7.6717,9.41482177734375,0.5245092773437501,3.6619848632812504,-1.6106870229007633,-27.587786259541986,2.519083969465649,-68.55,-68.96
7.6891,9.410031738281251,0.3448828125,3.42727294921875,-3.0916030534351147,-42.80916030534351,0.9083969465648855,-69.89,-69.71
7.7047,9.4651171875,0.277822265625,3.29315185546875,-3.33587786259542,-57.93893129770992,0.2900763358778626,-70.75,-70.61
7.7199,10.02794677734375,0.51971923828125,3.67875,-3.0,-51.89312977099237,-0.7251908396946565,-69.67,-71.32
7.7377,9.596843261718751,0.51971923828125,3.573369140625,-6.175572519083969,-50.725190839694655,-2.404580152671756,-69.38,-72.09
7.753,9.61600341796875,0.6682104492187501,2.7207421875,-5.8396946564885495,-34.274809160305345,-1.9923664122137406,-73.76,-72.65
7.7682,9.680668945312501,0.7711962890625,2.692001953125,-3.236641221374046,-8.641221374045802,-1.9312977099236641,-73.87,-72.82
7.7857,9.90819580078125,0.4981640625,2.66086669921875,-0.37404580152671757,-5.969465648854962,-2.015267175572519,-74.72,-72.99
7.8013,10.06626708984375,0.45984375,2.50758544921875,2.7099236641221376,-6.3893129770992365,-2.946564885496183,-75.79,-73.19
7.8166,9.75251953125,0.33290771484375004,2.85725830078125,2.5419847328244276,-4.816793893129771,-2.198473282442748,-73.57,-73.27
7.8341,9.6040283203125,0.42870849609375,3.16142578125,0.816793893129771,-2.450381679389313,-4.190839694656488,-71.62,-73.24
7.8511,9.85550537109375,0.5460644531250001,3.05364990234375,-0.8015267175572519,2.984732824427481,-3.0076335877862594,-72.53,-73.15
7.8687,9.8914306640625,0.680185546875,2.3710693359375,2.6259541984732824,7.625954198473282,-1.251908396946565,-76.0,-73.13
7.8843,9.5273876953125,0.5029541015625,2.4405249023437503,5.931297709923665,1.6564885496183206,-0.03816793893129771,-75.34,-73.2
7.9044,9.29986083984375,0.3879931640625,2.9794042968750003,4.916030534351145,-6.938931297709924,-0.25190839694656486,-72.1,-73.28
7.9213,9.66390380859375,0.3784130859375,3.1039453125,1.1297709923664123,-8.282442748091603,-2.0381679389312977,-72.07,-73.35
7.9366,10.011181640625,0.5748046875,2.941083984375,0.5954198473282443,6.396946564885496,-2.5114503816793894,-73.34,-73.25
7.9544,9.4220068359375,0.45026367187500005,2.64170654296875,2.435114503816794,4.435114503816794,-1.8244274809160306,-74.12,-73.21
7.9697,9.45314208984375,0.469423828125,2.53632568359375,4.213740458015267,5.633587786259542,-3.7099236641221376,-74.74,-73.18
7.9873,9.5657080078125,0.48139892578125004,2.93150390625,4.0458015267175576,14.580152671755725,-4.870229007633588,-72.75,-72.91
8.0028,9.956096191406251,0.5652246093750001,2.81893798828125,3.5114503816793894,21.99236641221374,-5.793893129770993,-73.89,-72.63
8.0183,9.800419921875001,0.55564453125,2.7446923828125,4.4961832061068705,19.770992366412212,-2.595419847328244,-74.05,-72.39
8.0374,9.88424560546875,0.52929931640625,2.9841943359375,5.679389312977099,27.16793893129771,-0.816793893129771,-72.95,-71.91
8.053,9.9297509765625,0.49337402343750003,2.8764184570312503,5.717557251908397,39.916030534351144,-0.4122137404580153,-73.62,-71.39
8.0684,9.613608398437501,0.48139892578125004,3.0464648437500004,6.488549618320611,48.00763358778626,-0.3969465648854962,-72.21,-70.71
8.0875,9.620793457031251,0.49337402343750003,3.35063232421875,4.450381679389313,52.778625954198475,-1.0534351145038168,-70.61,-69.74
8.1032,9.34776123046875,0.49097900390625004,3.5398388671875,1.7099236641221374,57.88549618320611,-1.0381679389312977,-69.08,-68.85
8.1208,9.022038574218751,0.36643798828125,3.5709741210937502,-1.4274809160305344,60.56488549618321,-3.4732824427480917,-68.3,-67.8
8.1362,9.53936279296875,0.3688330078125,3.53744384765625,-2.114503816793893,58.961832061068705,-4.0534351145038165,-69.55,-67.01
8.1518,9.723779296875,0.7328759765625,3.66677490234375,-1.1755725190839694,50.37404580152672,2.0,-68.97,-66.34
8.1697,9.580078125,0.6035449218750001,3.3650024414062503,0.6793893129770993,54.045801526717554,4.137404580152672,-70.36,-65.59
8.185,9.33099609375,0.6251000976562501,3.7889208984375,4.931297709923665,61.412213740458014,2.6412213740458017,-67.63,-64.79
8.2004,9.14657958984375,0.53887939453125,4.0882983398437505,6.8320610687022905,62.656488549618324,0.8625954198473282,-65.73,-63.91
8.2193,8.8519921875,0.5221142578125,4.5984375,8.083969465648854,83.18320610687023,-0.15267175572519084,-62.4,-62.36
8.235,8.6220703125,0.36404296875000003,4.9289501953125,4.580152671755725,82.92366412213741,-1.5954198473282444,-60.18,-61.03
8.2524,8.96455810546875,0.44068359375000005,4.847519531250001,2.549618320610687,83.12977099236642,-0.08396946564885496,-61.5,-59.67
8.2678,9.129814453125,0.9244775390625001,4.940925292968751,4.572519083969466,72.19847328244275,2.0,-61.16,-58.68
8.2835,9.40045166015625,0.689765625,4.53856201171875,9.122137404580153,88.22900763358778,4.358778625954199,-63.97,-57.59
8.3008,8.571774902343751,0.61552001953125,5.360053710937501,13.977099236641221,105.20610687022901,3.595419847328244,-57.81,-55.88
8.3164,7.75267822265625,0.3592529296875,6.14322509765625,13.916030534351146,109.95419847328245,1.381679389312977,-51.56,-54.07
8.3316,7.2856494140625,0.5508544921875,6.478527832031251,3.8244274809160306,112.18320610687023,-1.8396946564885497,-48.25,-52.2
8.3492,7.429350585937501,0.6658154296875001,6.658154296875001,-1.9694656488549618,124.62595419847328,-9.274809160305344,-47.99,-49.94
8.3648,7.316784667968751,0.51971923828125,5.86061279296875,-2.7557251908396947,129.14503816793894,-11.473282442748092,-51.2,-48.08
8.3802,7.6281372070312505,0.41912841796875,5.879772949218751,-2.8931297709923665,128.98473282442748,-8.213740458015268,-52.3,-46.37
8.3992,7.316784667968751,0.756826171875,6.9958520507812505,-7.99236641221374,150.0916030534351,-12.732824427480915,-46.12,-43.65
8.4146,6.991062011718751,0.6634204101562501,7.024592285156251,-3.282442748091603,145.12213740458014,-17.541984732824428,-44.74,-41.57
8.4324,7.6544824218750005,0.6514453125,7.0892578125000005,5.465648854961832,122.89312977099236,-9.870229007633588,-47.08,-39.74
8.448,7.079677734375,0.6682104492187501,7.6975927734375,4.236641221374046,88.00763358778626,0.7938931297709924,-42.5,-38.57
8.4636,6.37314697265625,0.75443115234375,8.09756103515625,1.1984732824427482,73.19847328244275,4.931297709923665,-38.08,-37.48
8.4814,5.94204345703125,0.53887939453125,8.490344238281251,-3.5343511450381677,89.54198473282443,4.2748091603053435,-34.93,-35.88
