time_s,ax,ay,az,pitch,roll,yaw
4.3297,17028,3060,1212,-79.06,68.39,-9.16
4.3420,16520,3172,1420,-78.12,65.88,-8.33
4.3542,15160,3264,2252,-75.34,55.40,-7.35
4.3665,14420,3248,2528,-74.07,52.11,-6.18
4.3786,13968,2624,4440,-69.73,30.58,-4.88
4.3911,16308,1756,4748,-72.75,20.30,-3.42
4.4033,13172,1260,7908,-58.70,9.05,-1.99
4.4151,12956,328,10160,-51.88,1.85,-0.68
4.4270,11436,-392,11824,-44.03,-1.90,0.59
4.4390,10664,-1564,14924,-35.40,-5.98,1.80
4.4527,9712,-2620,14984,-32.56,-9.92,3.12
4.4648,8712,-2568,15432,-29.11,-9.45,4.21
4.4770,6440,-2068,15604,-22.25,-7.55,5.21
4.4889,6804,-2492,15092,-23.98,-9.38,6.19
4.5012,7032,-2676,13932,-26.37,-10.87,7.16
4.5134,5980,-3216,14812,-21.53,-12.25,8.02
4.5262,4048,-3664,17124,-13.02,-12.08,8.93
4.5386,4780,-4576,17296,-14.96,-14.82,9.80
4.5511,5660,-5080,17448,-17.30,-16.23,10.75
4.5637,6480,-4480,15096,-22.37,-16.53,11.64
4.5802,4664,-3880,15536,-16.24,-14.02,12.95
4.5929,4676,-4128,12812,-19.16,-17.86,14.06
4.6058,2328,-5096,13988,-8.89,-20.02,15.18
4.6182,1080,-7320,20460,-2.85,-19.69,16.39
4.6304,1920,-8716,19472,-5.14,-24.11,17.56
4.6430,4996,-6904,18356,-14.29,-20.61,18.93
4.6557,6192,-7112,11564,-24.52,-31.59,20.16
4.6687,5472,-4764,7068,-32.70,-33.98,21.22
4.6814,4232,-5520,5688,-28.10,-44.14,22.20
4.6990,1740,-8344,15656,-5.60,-28.06,23.85
4.7117,-280,-10380,19404,0.73,-28.14,25.03
4.7240,-120,-10596,19512,0.31,-28.50,26.07
4.7362,2104,-10136,14404,-6.81,-35.13,27.09
4.7488,3424,-9476,7108,-16.12,-53.13,28.05
4.7614,3752,-8988,4292,-20.64,-64.47,28.88
4.7743,3244,-9612,5488,-16.34,-60.28,29.64
4.7870,3816,-10904,7600,-16.02,-55.12,30.29
4.8010,-332,-12512,11540,1.12,-47.31,31.03
4.8146,-5048,-13832,21400,11.21,-32.88,31.64
4.8273,-4660,-15292,22776,9.64,-33.88,32.22
4.8397,-1968,-15156,12704,5.68,-50.03,32.76
4.8520,832,-14080,3660,-3.27,-75.43,33.07
4.8640,2552,-14360,2088,-9.97,-81.73,33.25
4.8788,1540,-14240,4672,-5.87,-71.84,33.44
4.8911,-36,-14944,7744,0.12,-62.61,33.56
4.9036,-2136,-15456,8084,6.98,-62.39,33.68
4.9159,-2212,-16412,5604,7.27,-71.15,33.75
4.9298,-3596,-17644,4688,11.14,-75.12,33.71
4.9424,-3652,-16780,1128,12.25,-86.15,33.49
4.9551,-2844,-16704,456,9.66,-88.44,33.12
4.9678,-2756,-16632,3908,9.16,-76.78,32.70
4.9842,-2432,-17596,5440,7.52,-72.82,32.11
4.9985,-3340,-17420,5188,10.41,-73.42,31.56
5.0114,-2628,-16900,3288,8.68,-78.99,31.04
5.0238,-2116,-16496,1728,7.27,-84.02,30.58
5.0364,-2556,-16036,2664,8.94,-80.57,30.24
5.0502,-1592,-15208,-388,5.97,-91.46,29.86
5.0627,-1740,-16040,2324,6.13,-81.76,29.51
5.0752,-960,-17200,4392,3.10,-75.68,29.24
5.0873,-116,-17056,3612,0.38,-78.04,29.05
5.0997,-644,-16828,2268,2.17,-82.32,28.86
5.1118,-104,-16836,1520,0.35,-84.84,28.63
5.1242,452,-16896,728,-1.53,-87.53,28.42
5.1364,-180,-16932,1488,0.61,-84.98,28.25
5.1489,936,-17128,3604,-3.06,-78.12,28.17
5.1609,-360,-17684,3672,1.14,-78.27,28.11
5.1733,-812,-17572,776,2.64,-87.47,27.90
5.1869,584,-16492,-1420,-2.02,-94.92,27.68
5.1991,-520,-15888,-2456,1.85,-98.79,27.56
5.2113,-984,-15500,-1676,3.61,-96.17,27.53
5.2235,-1540,-15780,116,5.57,-89.58,27.61
5.2359,-3844,-17396,5224,11.95,-73.29,28.04
5.2507,-2688,-16948,3872,8.79,-77.13,28.77
5.2633,-2260,-16372,2720,7.75,-80.57,29.31
5.2759,-1708,-16172,492,6.03,-88.26,29.66
5.2883,-1368,-15800,-4228,4.78,-104.98,29.90
5.3005,644,-14248,-3388,-2.52,-103.38,30.28
5.3142,-1216,-15328,3644,4.41,-76.63,30.81
5.3265,-2928,-16460,14304,7.65,-49.01,31.65
5.3391,-7720,-18024,16432,17.56,-47.65,33.06
5.3517,-3508,-18336,4888,10.47,-75.07,34.12
5.3643,3856,-15776,-9952,-11.68,-122.25,34.75
5.3772,5888,-14260,-4200,-21.61,-106.41,34.89
5.3902,2072,-15616,10764,-6.23,-55.42,34.70
5.4023,-2724,-16636,18980,6.16,-41.23,34.51
5.4148,-5504,-16500,18484,12.52,-41.75,34.64
5.4277,-3204,-18892,14128,7.73,-53.21,35.28
5.4398,-3180,-17236,2544,10.34,-81.60,35.48
5.4563,-532,-13172,-6016,2.10,-114.55,34.88
5.4683,-208,-12880,5336,0.85,-67.50,34.04
5.4808,-1680,-14432,22104,3.64,-33.14,33.21
5.4934,-812,-14936,26996,1.51,-28.95,32.80
5.5055,5616,-15524,12880,-15.56,-50.32,32.82
5.5184,924,-14648,19512,-2.17,-36.90,32.75
5.5306,-7680,-15136,16056,19.19,-43.31,32.55
5.5436,-4908,-13336,7772,17.64,-59.77,31.10
5.5563,5484,-7864,-3256,-32.79,-112.49,28.92
5.5692,6292,-6968,14820,-21.02,-25.18,26.69
5.5833,1480,-6964,24572,-3.32,-15.82,24.81
5.5956,116,-6192,16712,-0.37,-20.33,23.82
5.6080,4360,-4924,20804,-11.53,-13.32,23.35
5.6224,3168,-4964,18616,-9.34,-14.93,23.23
5.6350,476,-1556,7812,-3.42,-11.26,22.45
5.6472,76,2172,9172,-0.46,13.32,21.51
5.6597,-8092,2772,16744,25.49,9.40,20.61
5.6721,-952,2144,17732,3.05,6.89,20.11
5.6857,-32,2784,10436,0.17,14.94,19.56
5.6980,848,3824,18264,-2.60,11.83,19.36
5.7118,916,5504,12740,-3.78,23.37,19.57
5.7242,-888,6476,15640,3.00,22.49,19.83
5.7366,-3456,7980,11388,13.96,35.02,20.16
5.7494,416,7928,14380,-1.45,28.87,20.29
5.7618,2044,7116,13548,-7.61,27.71,20.30
5.7741,3404,7412,13192,-12.68,29.33,20.27
5.7869,2588,7960,14868,-8.72,28.16,20.32
5.7995,3360,8224,13696,-11.88,30.98,20.35
5.8121,1264,8828,9960,-5.43,41.55,20.28
5.8269,160,9104,12164,-0.60,36.81,20.25
5.8405,1380,8032,12924,-5.18,31.86,20.18
5.8530,2900,7620,15352,-9.60,26.40,20.11
5.8653,2220,7584,13624,-8.10,29.10,20.15
5.8779,2972,7920,15512,-9.68,27.05,20.32
5.8904,-316,9416,11148,1.24,40.19,20.54
5.9029,632,9784,8104,-2.85,50.37,20.61
5.9149,1516,9968,13104,-5.26,37.26,20.65
5.9275,1316,9884,15092,-4.17,33.22,20.67
5.9399,2472,9396,14584,-8.11,32.79,20.74
5.9526,1652,10228,12048,-5.97,40.33,20.92
5.9649,760,11008,11604,-2.72,43.49,21.13
5.9772,220,10916,12684,-0.75,40.72,21.35
5.9908,1092,11184,12424,-3.74,41.99,21.49
6.0033,2624,10316,15668,-7.96,33.36,21.60
6.0196,2496,10248,13540,-8.36,37.12,21.63
6.0323,1140,10240,15308,-3.54,33.78,21.69
6.0469,-1968,11092,15096,6.00,36.31,21.81
6.0612,-1356,11000,13648,4.42,38.87,22.00
6.0753,748,10208,13292,-2.56,37.52,22.25
6.0915,3064,9544,13076,-10.72,36.13,22.47
6.1042,2276,10252,11332,-8.47,42.14,22.56
6.1169,1884,10172,11584,-6.97,41.29,22.67
6.1306,1076,9896,12228,-3.91,38.98,22.78
6.1432,2204,9812,10352,-8.78,43.47,22.89
6.1558,2076,9640,10224,-8.40,43.32,22.95
6.1685,2376,9908,9704,-9.72,45.60,23.10
6.1808,2660,9648,7156,-12.49,53.44,23.12
6.1937,636,10456,7996,-2.77,52.59,23.17
6.2057,1916,9164,12628,-7.00,35.97,23.33
6.2183,2660,7036,14028,-9.62,26.64,23.35
6.2354,4320,6496,12348,-17.20,27.75,23.06
6.2483,2804,7152,10196,-12.69,35.05,22.65
6.2611,1836,7176,9888,-8.55,35.97,22.37
6.2751,-520,4848,13520,2.07,19.73,22.21
6.2874,6676,-408,22508,-16.52,-1.04,22.02
6.2998,9156,-1564,26964,-18.73,-3.32,21.50
6.3120,5696,1608,21492,-14.80,4.28,20.50
6.3246,-28,4904,15272,0.10,17.80,19.63
6.3368,-1944,6644,6392,11.91,46.11,19.24
6.3497,-1944,5632,2792,17.18,63.63,19.36
6.3625,-4708,-188,26228,10.18,-0.41,20.14
